1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0.050581771,0.109776443,0.202898551,0.245508982,0.277227723,0.333333333,0.25,0.2,0.25,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0
0.072558345,0.173631124,0.219917012,0.2,0.166666667,0.136363636,0.1875,0,0.25,0,0.25,-1,0,,,,,,,,,,,,,,
0.113126784,0.230697674,0.3515625,0.260869565,0.416666667,0.25,0,-1,0,,,,,,,,,,,,,,,,,,
0.052441881,0.148045977,0.219224283,0.302222222,0.430769231,0.380952381,0.333333333,0.5,0.333333333,1,-1,0,,,,,,,,,,,,,,,
0.049242768,0.169864296,0.275862069,0.391891892,0.408163265,0.52173913,0.272727273,0,1,-1,0,-1,0,,,,,,,,,,,,,,
0.049257363,0.137058053,0.220170455,0.315789474,0.26744186,0.352941176,0.375,0.25,0.5,1,0,,,,,,,,,,,,,,,,
0.067969791,0.19515885,0.299401198,0.352941176,0.377777778,0.142857143,0.6,0,,,,,,,,,,,,,,,,,,,
0.060455792,0.141350211,0.22246696,0.280898876,0.260869565,0.45,0,0,,,,,,,,,,,,,,,,,,,
0.041055985,0.11002045,0.186228482,0.199170124,0.342465753,0.423076923,0.4,0.5,0,0,0,0,,,,,,,,,,,,,,,
0.0575983,0.14874552,0.162429379,0.279475983,0.373134328,0.333333333,0.125,1,1,,,,,,,,,,,,,,,,,,
0.052404156,0.103930461,0.201183432,0.311740891,0.353658537,0.206896552,0.333333333,0.5,0,0.5,1,,,,,,,,,,,,,,,,
0.065587235,0.190270936,0.358669834,0.384615385,0.574468085,0.5,0,0.6,0,-1,1,,,,,,,,,,,,,,,,
0.058626305,0.130507066,0.23489011,0.27016129,0.344262295,0.394736842,0.2,0.333333333,0,0.25,-1,-1,-1,-1,-1,-1,1,,,,,,,,,,
0.069483568,0.17654321,0.323017408,0.317365269,0.338461538,0.34375,0.3,0,,,,,,,,,,,,,,,,,,,
0.051169188,0.142215569,0.242070117,0.353982301,0.483516484,0.56,0.6,0.4,-1,1,1,,,,,,,,,,,,,,,,
0.060815799,0.130120482,0.227994228,0.326923077,0.3375,0.238095238,0.777777778,0.333333333,1,0.5,1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
0.055981397,0.145782146,0.264450867,0.338541667,0.405063291,0.433333333,0.3,0.555555556,0,0,-1,0,0,,,,,,,,,,,,,,
0.047779997,0.143507031,0.237160121,0.364754098,0.235602094,0.328947368,0.303030303,0.444444444,0.5,0,0.5,-1,0,0,-1,-1,-1,-1,-1,1,,,,,,,
0.067162266,0.170504872,0.257391304,0.347593583,0.448275862,0.5625,0.727272727,0.333333333,0,0,-1,0,-1,-1,-1,-1,-1,-1,1,,,,,,,,
0.058693995,0.145552561,0.222222222,0.278145695,0.293478261,0.428571429,0.538461538,0.625,0.5,0,-1,1,-1,-1,-1,-1,-1,-1,-1,1,,,,,,,
0.061990489,0.144871795,0.247606019,0.375565611,0.328767123,0.666666667,0.5,0.666666667,0.333333333,1,0,-1,-1,-1,-1,0,-1,0,,,,,,,,,
0.041954519,0.109449106,0.1863581,0.243654822,0.347560976,0.4,0.318181818,0.461538462,0,0.4,0.666666667,-1,0,-1,-1,0,-1,-1,-1,-1,1,,,,,,
0.03810132,0.10732054,0.195536663,0.216463415,0.230088496,0.260869565,0.28,0.333333333,0.5,1,0,-1,0,,,,,,,,,,,,,,
0.029109028,0.085068935,0.132323232,0.196132597,0.231788079,0.192307692,0.175,0.133333333,0.666666667,0.2,0,-1,-1,-1,0,-1,-1,-1,0,,,,,,,,
0.026154777,0.070151307,0.118047673,0.166153846,0.144654088,0.225806452,0.1875,0.384615385,0.222222222,0,0,0,0,0,,,,,,,,,,,,,
0.045729657,0.115449915,0.1875,0.248447205,0.196428571,0.448275862,0.25,0.5,0,0,,,,,,,,,,,,,,,,,
0.050614105,0.111540585,0.192504259,0.263473054,0.301587302,0.285714286,0.285714286,0,1,0,1,-1,0,0,-1,-1,1,,,,,,,,,,
0.09667045,0.234870317,0.386454183,0.462962963,0.6,0.666666667,0,-1,-1,1,,,,,,,,,,,,,,,,,
0.108231228,0.246816846,0.432,0.47826087,0.4375,0.5,0,1,,,,,,,,,,,,,,,,,,,
0.117317426,0.254672897,0.365853659,0.379310345,0.375,0.833333333,1,-1,0.5,,,,,,,,,,,,,,,,,,
0.097479393,0.24095458,0.305755396,0.546666667,0.368421053,0.6,0.5,-1,-1,-1,0,,,,,,,,,,,,,,,,
0.057861635,0.161660777,0.246642247,0.360544218,0.3359375,0.361702128,0.571428571,0.222222222,1,0.666666667,0.333333333,0,-1,0,,,,,,,,,,,,,
0.075498575,0.208240535,0.313793103,0.386503067,0.457627119,0.592592593,0.444444444,0.857142857,0.5,-1,0,-1,0,-1,-1,1,,,,,,,,,,,
0.040326325,0.110708402,0.167624521,0.268292683,0.444444444,0.460526316,0.391304348,0.473684211,0.625,0.4,0.5,-1,0.333333333,,,,,,,,,,,,,,
0.049183089,0.114392679,0.170053476,0.269633508,0.388571429,0.370967742,0.333333333,0.166666667,0.333333333,0.6,1,-1,0.5,0.5,1,0,,,,,,,,,,,
0.028022362,0.069536424,0.111535523,0.16730038,0.194570136,0.272727273,0.29787234,0.260869565,0.363636364,0,0.333333333,-1,0,0,-1,-1,-1,-1,-1,0,0,,,,,,
0.018763326,0.04507405,0.064030132,0.088435374,0.135,0.121495327,0.139534884,0.117647059,0.2,0,0.2,0,,,,,,,,,,,,,,,
0.03531452,0.082647719,0.157480315,0.223300971,0.256756757,0.202020202,0.243243243,0.242424242,0.4,1,0,-1,0.5,,,,,,,,,,,,,,
0.029258439,0.091566265,0.137931034,0.194630872,0.162650602,0.329113924,0.31372549,0.307692308,0.272727273,0.166666667,0.333333333,-1,0,,,,,,,,,,,,,,
0.092317148,0.185882353,0.279605263,0.395833333,0.363636364,0.6,0.5,0.5,0,0,,,,,,,,,,,,,,,,,
0.13037037,0.24471831,0.309090909,0.470588235,0.25,0.75,-1,0,,,,,,,,,,,,,,,,,,,
0.220412595,0.49122807,0.55,1,1,,,,,,,,,,,,,,,,,,,,,,
0.047658008,0.135182584,0.195652174,0.286052009,0.25,0.333333333,0.413793103,0.666666667,0.5,0.25,0,0.5,,,,,,,,,,,,,,,
0.113764462,0.266350711,0.354354354,0.406779661,0.555555556,0.375,0,-1,-1,-1,-1,-1,0,,,,,,,,,,,,,,
0.039507524,0.123632385,0.207737595,0.23826087,0.244680851,0.276422764,0.363636364,0.615384615,0.375,0.5,1,0,0.666666667,0,0,,,,,,,,,,,,
