1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.05 ,0.11 ,0.20 ,0.25 ,0.28 ,0.33 ,0.25 ,0.20 ,0.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 
0.07 ,0.17 ,0.22 ,0.20 ,0.17 ,0.14 ,0.19 ,0.00 ,0.25 ,0.00 ,0.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
0.11 ,0.23 ,0.35 ,0.26 ,0.42 ,0.25 ,0.00 ,0.50 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,,1.00 ,0.00 ,0.00 
0.05 ,0.15 ,0.22 ,0.30 ,0.43 ,0.38 ,0.33 ,0.00 ,0.33 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,,,1.00 ,
0.05 ,0.17 ,0.28 ,0.39 ,0.41 ,0.52 ,0.27 ,0.25 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.50 ,,1.00 ,,,,0.00 ,
0.05 ,0.14 ,0.22 ,0.32 ,0.27 ,0.35 ,0.38 ,0.00 ,0.50 ,0.50 ,1.00 ,0.00 ,0.00 ,0.00 ,,,,,,1.00 ,
0.07 ,0.20 ,0.30 ,0.35 ,0.38 ,0.14 ,0.60 ,0.00 ,0.00 ,0.25 ,1.00 ,1.00 ,0.00 ,0.00 ,,,,,,,
0.06 ,0.14 ,0.22 ,0.28 ,0.26 ,0.45 ,0.00 ,0.50 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,,,,,,,
0.04 ,0.11 ,0.19 ,0.20 ,0.34 ,0.42 ,0.40 ,1.00 ,0.00 ,0.50 ,1.00 ,0.00 ,0.00 ,1.00 ,,,,,,,
0.06 ,0.15 ,0.16 ,0.28 ,0.37 ,0.33 ,0.13 ,0.50 ,0.00 ,0.00 ,0.50 ,0.50 ,0.00 ,0.00 ,,,,,,,
0.05 ,0.10 ,0.20 ,0.31 ,0.35 ,0.21 ,0.33 ,0.60 ,0.00 ,0.00 ,0.00 ,0.00 ,0.33 ,1.00 ,,,,,,,
0.07 ,0.19 ,0.36 ,0.38 ,0.57 ,0.50 ,0.00 ,0.33 ,1.00 ,0.00 ,0.67 ,0.00 ,0.50 ,,,,,,,,
0.06 ,0.13 ,0.23 ,0.27 ,0.34 ,0.39 ,0.20 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,
0.07 ,0.18 ,0.32 ,0.32 ,0.34 ,0.34 ,0.30 ,0.40 ,0.50 ,1.00 ,0.00 ,1.00 ,0.50 ,,,,,,,,
0.05 ,0.14 ,0.24 ,0.35 ,0.48 ,0.56 ,0.60 ,0.33 ,0.00 ,0.40 ,0.00 ,0.25 ,0.00 ,,,,,,,,
0.06 ,0.13 ,0.23 ,0.33 ,0.34 ,0.24 ,0.78 ,0.56 ,0.50 ,1.00 ,1.00 ,0.00 ,0.00 ,,,,,,,,
0.06 ,0.15 ,0.26 ,0.34 ,0.41 ,0.43 ,0.30 ,0.44 ,0.33 ,0.20 ,0.00 ,,0.67 ,,,,,,,,
0.05 ,0.14 ,0.24 ,0.36 ,0.24 ,0.33 ,0.30 ,0.33 ,0.00 ,0.00 ,0.33 ,,1.00 ,,,,,,,,
0.07 ,0.17 ,0.26 ,0.35 ,0.45 ,0.56 ,0.73 ,0.63 ,0.50 ,0.00 ,0.00 ,,0.00 ,,,,,,,,
0.06 ,0.15 ,0.22 ,0.28 ,0.29 ,0.43 ,0.54 ,0.67 ,0.67 ,0.00 ,0.50 ,,0.00 ,,,,,,,,
0.06 ,0.14 ,0.25 ,0.38 ,0.33 ,0.67 ,0.50 ,0.46 ,0.22 ,1.00 ,1.00 ,,,,,,,,,,
0.04 ,0.11 ,0.19 ,0.24 ,0.35 ,0.40 ,0.32 ,0.33 ,0.00 ,0.67 ,0.33 ,,,,,,,,,,
0.04 ,0.11 ,0.20 ,0.22 ,0.23 ,0.26 ,0.28 ,0.13 ,1.00 ,0.40 ,0.20 ,,,,,,,,,,
0.03 ,0.09 ,0.13 ,0.20 ,0.23 ,0.19 ,0.18 ,0.38 ,0.50 ,0.60 ,0.00 ,,,,,,,,,,
0.03 ,0.07 ,0.12 ,0.17 ,0.14 ,0.23 ,0.19 ,0.50 ,1.00 ,0.00 ,0.33 ,,,,,,,,,,
0.05 ,0.12 ,0.19 ,0.25 ,0.20 ,0.45 ,0.25 ,0.00 ,0.50 ,0.00 ,0.00 ,,,,,,,,,,
0.05 ,0.11 ,0.19 ,0.26 ,0.30 ,0.29 ,0.29 ,1.00 ,0.63 ,1.00 ,1.00 ,,,,,,,,,,
0.10 ,0.23 ,0.39 ,0.46 ,0.60 ,0.67 ,0.00 ,0.22 ,0.33 ,0.17 ,0.00 ,,,,,,,,,,
0.11 ,0.25 ,0.43 ,0.48 ,0.44 ,0.50 ,0.00 ,0.86 ,0.36 ,0.00 ,0.00 ,,,,,,,,,,
0.12 ,0.25 ,0.37 ,0.38 ,0.38 ,0.83 ,1.00 ,0.47 ,0.20 ,0.25 ,0.50 ,,,,,,,,,,
0.10 ,0.24 ,0.31 ,0.55 ,0.37 ,0.60 ,0.50 ,0.17 ,0.40 ,0.50 ,0.50 ,,,,,,,,,,
0.06 ,0.16 ,0.25 ,0.36 ,0.34 ,0.36 ,0.57 ,0.26 ,0.27 ,1.00 ,0.00 ,,,,,,,,,,
0.08 ,0.21 ,0.31 ,0.39 ,0.46 ,0.59 ,0.44 ,0.12 ,0.00 ,0.67 ,,,,,,,,,,,
0.04 ,0.11 ,0.17 ,0.27 ,0.44 ,0.46 ,0.39 ,0.24 ,0.50 ,0.17 ,,,,,,,,,,,
0.05 ,0.11 ,0.17 ,0.27 ,0.39 ,0.37 ,0.33 ,0.31 ,0.38 ,0.00 ,,,,,,,,,,,
0.03 ,0.07 ,0.11 ,0.17 ,0.19 ,0.27 ,0.30 ,0.50 ,0.40 ,,,,,,,,,,,,
0.02 ,0.05 ,0.06 ,0.09 ,0.14 ,0.12 ,0.14 ,0.00 ,0.67 ,,,,,,,,,,,,
0.04 ,0.08 ,0.16 ,0.22 ,0.26 ,0.20 ,0.24 ,0.67 ,0.33 ,,,,,,,,,,,,
0.03 ,0.09 ,0.14 ,0.19 ,0.16 ,0.33 ,0.31 ,0.62 ,0.24 ,,,,,,,,,,,,
0.09 ,0.19 ,0.28 ,0.40 ,0.36 ,0.60 ,0.50 ,0.47 ,0.07 ,,,,,,,,,,,,
0.13 ,0.24 ,0.31 ,0.47 ,0.25 ,0.75 ,0.41 ,0.38 ,,,,,,,,,,,,,
0.22 ,0.49 ,0.55 ,1.00 ,1.00 ,0.33 ,0.00 ,0.33 ,,,,,,,,,,,,,
0.05 ,0.14 ,0.20 ,0.29 ,0.25 ,0.38 ,0.36 ,0.17 ,,,,,,,,,,,,,
0.11 ,0.27 ,0.35 ,0.41 ,0.56 ,0.28 ,0.44 ,0.08 ,,,,,,,,,,,,,
0.04 ,0.12 ,0.21 ,0.24 ,0.24 ,0.42 ,0.28 ,,,,,,,,,,,,,,
0.04 ,0.13 ,0.23 ,0.28 ,0.32 ,0.34 ,0.41 ,,,,,,,,,,,,,,
0.06 ,0.17 ,0.26 ,0.31 ,0.31 ,0.28 ,0.15 ,,,,,,,,,,,,,,
0.04 ,0.11 ,0.18 ,0.25 ,0.31 ,0.16 ,0.08 ,,,,,,,,,,,,,,
0.02 ,0.06 ,0.11 ,0.15 ,0.16 ,0.08 ,,,,,,,,,,,,,,,
0.01 ,0.02 ,0.04 ,0.05 ,0.05 ,,,,,,,,,,,,,,,,
0.06 ,0.15 ,0.24 ,0.31 ,0.34 ,0.38 ,0.32 ,0.36 ,0.37 ,0.38 ,0.35 ,0.17 ,0.15 ,0.23 ,0.25 ,0.20 ,0.50 ,0.50 ,0.67 ,0.33 ,0.33 
